"","school_id","name","school_type","school_type_detail","grade_band","county","locale_code","pvt_pct_nonwhite","enrollment","teacher_fte"
"222","240003000026","Parkside Elementary","public","public","ES","ALLEGANY","23",NA,"201","16.5"
"223","240003000030","Center for Career & Technical Education","public","public","HS","ALLEGANY","23",NA,"219","25"
"224","240003000031","Washington Middle","public","public","MS","ALLEGANY","13",NA,"592","43.46"
"225","240003000032","West Side Elementary","public","public","ES","ALLEGANY","13",NA,"405","25.5"
"226","240003000033","Westernport Elementary","public","public","ES","ALLEGANY","31",NA,"273","17.6"
"227","240003001338","Cash Valley Elementary","public","public","ES","ALLEGANY","41",NA,"269","24.7"
"228","240003001359","South Penn Elementary","public","public","ES","ALLEGANY","13",NA,"566","40.65"
"229","240003001546","Mt. Savage Elementary","public","public","ES","ALLEGANY","41",NA,"186","14.1"
"230","240003001636","Mountain Ridge High School","public","public","HS","ALLEGANY","23",NA,"792","48.5"
"231","240006000035","Annapolis Elementary","public","public","ES","ANNE ARUNDEL","21",NA,"236","21.9"
"232","240006000036","Annapolis Middle","public","public","MS","ANNE ARUNDEL","21",NA,"1014","76.76"
"233","240006000037","Annapolis High","public","public","HS","ANNE ARUNDEL","21",NA,"1981","137.6"
"234","240006000038","Arnold Elementary","public","public","ES","ANNE ARUNDEL","21",NA,"435","26.4"
"235","240006000039","Arundel Middle","public","public","MS","ANNE ARUNDEL","21",NA,"1043","68.64"
"236","240006000040","Arundel High","public","public","HS","ANNE ARUNDEL","21",NA,"2122","114.93"
"237","240006000041","Wiley H. Bates Middle","public","public","MS","ANNE ARUNDEL","21",NA,"622","63.12"
"238","240006000042","Chesapeake Bay Middle","public","public","MS","ANNE ARUNDEL","21",NA,"1027","76.08"
"239","240006000043","Belle Grove Elementary","public","public","ES","ANNE ARUNDEL","21",NA,"290","22.2"
"240","240006000044","Belvedere Elementary","public","public","ES","ANNE ARUNDEL","21",NA,"546","36.2"
